candidato;cargo;departamento;Plan de Gobierno ;;;;;;;;;
JULIO CESAR TORREZ TAPIA;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2025/12/PG-NGP-DEPARTAMENTAL-SANTA-CRUZ-.pdf;;;;;;;;;
LUIS FERNANDO CAMACHO VACA;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-ALIANZA-CREEMOS-PATRIA-DEPARTAMENTO-DE-SANTA-CRUZ.pdf;;;;;;;;;
MAURICIO QUEZADA MOSTAJO;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2025/12/PG-PDC-DEPARTAMENTAL-SANTA-CRUZ.pdf;;;;;;;;;
MIGUEL CADIMA CASTRO;Gobernador;Santa Cruz;No emcontrado, el partido;;;;;;;;;
OTTO ANDRES RITTER MENDEZ;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-AC-SC-PARA-TODOS-DEPARTAMENTO-DE-SANTA-CRUZ.pdf;;;;;;;;;
VLADIMIR ARIEL PEÑA VIRHUEZ;Gobernador;Santa Cruz;https://santacruz.oep.org.bo/wp-content/uploads/2026/01/PG-AGRUPACION-FUERZA-Y-ESPERANZA-DEPARTAMENTO-DE-SANTA-CRUZ-.pdf;;;;;;;;;
DAVID BRAULIO VARGAS FLORES;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/MTS.pdf;;;;;;;;;
DAVID FREDDY MAMANI SILVESTRE;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/INNOVACION-HUMANA-GAM-DE-EL-ALTO.pdf;;;;;;;;;
ELISER NEMESIO ROCA TANCARA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/PLAN-DE-GOBIERNO-GOBERNACION-FINAL.pdf;;;;;;;;;
ESTEBAN ALFREDO PATI PARI;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/NUEVA-GENERACION-PATRIOTICA-GAM-DE-EL-ALTO.pdf;;;;;;;;;
GABRIEL SEVERO MAMANI ORTIZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/PARTIDO-DEMOCRATA-CRISTIANO-GAM-DE-EL-ALTO.pdf;;;;;;;;;
OSCAR CHIRINOS ALANOCA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/MOVIMIENTO-POR-LA-SOBERANIA-GAM-DE-EL-ALTO.pdf;;;;;;;;;
OSCAR ELIAS CHOQUE;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/PLAN-ESTRATEGICO-DE-GOBIERNO-MUNICIPAL-TODOS-POR-EL-ALTO-2026-2031-22-12-2025.pdf;;;;;;;;;
OSCAR ZENON HUANCA SILVA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/VENCEREMOS.pdf;;;;;;;;;
PABLO CALLIZAYA AJAHUANA;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/MNR.pdf;;;;;;;;;
SIMON SERGIO CHOQUE SIÑANI;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/ALIANZA-UNIDOS-POR-LOS-PUEBLOS-GAM-DE-EL-ALTO-1.pdf;;;;;;;;;
SIMON WILMER GALVEZ JIMENEZ;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/LIBRE.pdf;;;;;;;;;
TAHUICHI TAHUICHI QUISPE;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/JALLALA.pdf;;;;;;;;;
WILMER OMAR PATTI TITO;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
YOACIR JESUS CALAMANI BARRIENTOS;Alcalde;La Paz;NO SE ENCONTRO;;;;;;;;;
CARLOS EDUARDO PALENQUE MONROY;Alcalde;La Paz;https://lapaz.oep.org.bo/wp-content/uploads/2026/02/LIBRE.pdf;;;;;;;;;
